Job Title,Location,Salary,Monthly Salary,Locality,City,State,JobText
Marketing Intern,"Ramanathapuram, Tamil Nadu","₹8,000 - ₹10,000 a month",9000.0,,Ramanathapuram,Tamil Nadu,Marketing Intern
Management Trainee- Investments & Life Insurance for Australian Shift (Vadodara Only),"Vadodara, Gujarat","₹17,000 - ₹30,000 a month",23500.0,,Vadodara,Gujarat,Management Trainee- Investments & Life Insurance for Australian Shift (Vadodara Only)
Data entry fresher apply now,"Noida, Uttar Pradesh","₹9,121.02 - ₹36,967.77 a month",23044.395,,Noida,Uttar Pradesh,Data entry fresher apply now
Personal assistant,"Delhi, Delhi","₹30,000 - ₹35,000 a month",32500.0,,Delhi,Delhi,Personal assistant
Greenpeace NGO - Fundraiser,"Bengaluru, Karnataka","₹27,000 - ₹30,000 a month",28500.0,,Bengaluru,Karnataka,Greenpeace NGO - Fundraiser
Fresher_Mumbai_Bhartiyavidya peeth,"Mumbai, Maharashtra",Not specified,,,Mumbai,Maharashtra,Fresher_Mumbai_Bhartiyavidya peeth
Programmer,"Ashok Vihar, Delhi, Delhi","₹22,000 - ₹25,000 a month",23500.0,Ashok Vihar,Delhi,Delhi,Programmer
Freshers - Content writter,"Chinna Chokkikulam, Madurai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,Chinna Chokkikulam,Madurai,Tamil Nadu,Freshers - Content writter
Receptionist,"Thrissur, Kerala",Not specified,,,Thrissur,Kerala,Receptionist
Service Engineer( Freshers can apply),"Coimbatore, Tamil Nadu","₹12,000 - ₹25,000 a month",18500.0,,Coimbatore,Tamil Nadu,Service Engineer( Freshers can apply)
Business Development Associate,"Bengaluru, Karnataka","₹18,000 - ₹28,000 a month",23000.0,,Bengaluru,Karnataka,Business Development Associate
Junior Software Engineer,"Chennai, Tamil Nadu","From ₹2,14,538.36 a year",,,Chennai,Tamil Nadu,Junior Software Engineer
Wanted Freshers from Nagamalai Pudukottai and nearby areas,"Madurai, Tamil Nadu","₹8,000 - ₹10,000 a month",9000.0,,Madurai,Tamil Nadu,Wanted Freshers from Nagamalai Pudukottai and nearby areas
Duty Officer,"Kochi, Kerala","₹18,000 - ₹23,000 a month",20500.0,,Kochi,Kerala,Duty Officer
Front Office Executive,"Sholinghur, Tamil Nadu","From ₹16,000 a month",,,Sholinghur,Tamil Nadu,Front Office Executive
Fresher Operations Analyst (Construction),"Bengaluru, Karnataka","₹5,50,000 - ₹6,00,000 a year",575000.0,,Bengaluru,Karnataka,Fresher Operations Analyst (Construction)
Flutter Developer Intern,Remote,"₹13,192.39 - ₹62,082.66 a month",37637.525,Remote,Remote,Remote,Flutter Developer Intern
Australian Accounting - Fresher,"Ahmedabad, Gujarat","₹15,000 - ₹50,000 a month",32500.0,,Ahmedabad,Gujarat,Australian Accounting - Fresher
Accounts Assistant,"Kollam, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Kollam,Kerala,Accounts Assistant
Female Kannada Telecalling Associate,"Shimoga, Karnataka",Not specified,,,Shimoga,Karnataka,Female Kannada Telecalling Associate
Trainee Application Support Executive (WFH),"Pune, Maharashtra","₹10,000 - ₹15,000 a month",12500.0,,Pune,Maharashtra,Trainee Application Support Executive (WFH)
freshers Intern,"Amravati, Maharashtra",Not specified,,,Amravati,Maharashtra,freshers Intern
Pay Per Click / Google Adwords Expert / Performance Marketing,"Okhla, Delhi, Delhi",Not specified,,Okhla,Delhi,Delhi,Pay Per Click / Google Adwords Expert / Performance Marketing
Marketing Assistant,Remote,"₹15,000 - ₹20,000 a month",17500.0,Remote,Remote,Remote,Marketing Assistant
Ticketing Executive,"Kurukshetra, Haryana","₹10,000 - ₹22,000 a month",16000.0,,Kurukshetra,Haryana,Ticketing Executive
Quality Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu,Quality Analyst
Software Trainee,"Chennai, Tamil Nadu","From ₹3,00,000 a year",,,Chennai,Tamil Nadu,Software Trainee
Scientific Analyst - Trainee,Remote,Not specified,,Remote,Remote,Remote,Scientific Analyst - Trainee
Business Development Associate (BDA),"Peelamedu, Coimbatore, Tamil Nadu","₹12,000 - ₹25,000 a month",18500.0,Peelamedu,Coimbatore,Tamil Nadu,Business Development Associate (BDA)
Trainee Software Engineer,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Trainee Software Engineer
Student Counsellor,"Kochi, Kerala","₹15,000 - ₹30,000 a month",22500.0,,Kochi,Kerala,Student Counsellor
Quality Control - Trainee,"Verna, Goa",Not specified,,,Verna,Goa,Quality Control - Trainee
Cast Member,"Tenkasi, Tamil Nadu","₹1,000 - ₹5,000 a day",3000.0,,Tenkasi,Tamil Nadu,Cast Member
Accounts Assistant,"Borivali East, Mumbai, Maharashtra","₹10,000 - ₹20,000 a month",15000.0,Borivali East,Mumbai,Maharashtra,Accounts Assistant
Front Office,"Chamba, Himachal Pradesh","₹20,000 - ₹25,000 a month",22500.0,,Chamba,Himachal Pradesh,Front Office
Germany Physiotherapist,"Noida, Uttar Pradesh","₹2,00,000 a month",200000.0,,Noida,Uttar Pradesh,Germany Physiotherapist
Vacancy for BA/BBA/BCA/BSc Fresher graduates,"Baddi, Himachal Pradesh","₹1,00,000 - ₹1,50,000 a year",125000.0,,Baddi,Himachal Pradesh,Vacancy for BA/BBA/BCA/BSc Fresher graduates
Packaging- Technical Trainee,"Jammu, Jammu and Kashmir",Not specified,,,Jammu,Jammu and Kashmir,Packaging- Technical Trainee
Data Entry Operator,Delhi,Not specified,,Delhi,Delhi,Delhi,Data Entry Operator
Pick Packer,"Pappanaickenpalayam, Coimbatore, Tamil Nadu","₹7,000 - ₹11,000 a month",9000.0,Pappanaickenpalayam,Coimbatore,Tamil Nadu,Pick Packer
Office Work Experience,"Samastipur, Bihar","From ₹10,000 a month",,,Samastipur,Bihar,Office Work Experience
Graduate Trainee,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh,Graduate Trainee
Quality Control,"Borivali East, Mumbai, Maharashtra",Not specified,,Borivali East,Mumbai,Maharashtra,Quality Control
Front Office Executives and Interns,"Kottayam, Kerala","From ₹22,000 a month",,,Kottayam,Kerala,Front Office Executives and Interns
Cashier,"Perambalur, Tamil Nadu","From ₹15,000 a month",,,Perambalur,Tamil Nadu,Cashier
Commis 3,"Vasai, Maharashtra","₹8,000 - ₹12,000 a month",10000.0,,Vasai,Maharashtra,Commis 3
Academic Advisor - Female,"Kochi, Kerala","₹20,000 - ₹26,000 a month",23000.0,,Kochi,Kerala,Academic Advisor - Female
Ai developer/intern,"Belgachia, Kolkata, West Bengal","₹30,000 - ₹60,000 a month",45000.0,Belgachia,Kolkata,West Bengal,Ai developer/intern
Accounts and HR Executive (Female Only),"Santacruz West, Mumbai, Maharashtra","Up to ₹12,000 a month",,Santacruz West,Mumbai,Maharashtra,Accounts and HR Executive (Female Only)
Analyst - Research,"Gurugram, Haryana",Not specified,,,Gurugram,Haryana,Analyst - Research
Diploma Trainee,"Chhati, Chhattisgarh","₹13,000 - ₹15,000 a month",14000.0,,Chhati,Chhattisgarh,Diploma Trainee
Vacancy For Fresher Photography - Girnar Ropeway Gujarat,"Junagadh, Gujarat","₹12,000 - ₹14,000 a month",13000.0,,Junagadh,Gujarat,Vacancy For Fresher Photography - Girnar Ropeway Gujarat
"CS Management Trainee (Financial Planning & Investment) Job Location:- Vadodara, Gujarat Only","Vadodara, Gujarat","₹10,000 - ₹27,000 a month",18500.0,,Vadodara,Gujarat,"CS Management Trainee (Financial Planning & Investment) Job Location:- Vadodara, Gujarat Only"
Life Insurance Advisor,"Cannanore, Kerala","₹25,000 - ₹50,000 a month",37500.0,,Cannanore,Kerala,Life Insurance Advisor
Cashier,"Kollam, Kerala","₹12,000 - ₹15,000 a month",13500.0,,Kollam,Kerala,Cashier
Research Analyst-(Entry level job for freshers),"Mohali, Punjab","₹7,000 - ₹10,000 a month",8500.0,,Mohali,Punjab,Research Analyst-(Entry level job for freshers)
BE/MCA Fresher,"Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh,BE/MCA Fresher
Fresh Graduates,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Fresh Graduates
Personal Assistant,"Jaipura, Rajasthan","₹20,000 - ₹30,000 a month",25000.0,,Jaipura,Rajasthan,Personal Assistant
Graphic Designer - Fresher,"Madurai, Tamil Nadu",Not specified,,,Madurai,Tamil Nadu,Graphic Designer - Fresher
Technical Graduate Apprentice - India UHR,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Technical Graduate Apprentice - India UHR
Education Consultant,"Kasaragod, Kerala","₹12,000 - ₹25,000 a month",18500.0,,Kasaragod,Kerala,Education Consultant
Warehouse Incharge,"Payyannur, Kerala","₹20,000 - ₹28,000 a month",24000.0,,Payyannur,Kerala,Warehouse Incharge
Research Trainee,"Denkanikota, Tamil Nadu",Not specified,,,Denkanikota,Tamil Nadu,Research Trainee
Accessories Incharge,"Alleppey, Kerala","₹14,000 - ₹18,000 a month",16000.0,,Alleppey,Kerala,Accessories Incharge
TRAINEE,Kerala,Not specified,,Kerala,Kerala,Kerala,TRAINEE
Brand Collaborator,"Hyderabad, Telangana","₹15,000 - ₹20,000 a month",17500.0,,Hyderabad,Telangana,Brand Collaborator
Trainee Digital(Freshers - BSc/BCA/MCA),Remote,"Up to ₹15,000 a month",,Remote,Remote,Remote,Trainee Digital(Freshers - BSc/BCA/MCA)
General Basic Workers,"Pudukkottai, Tamil Nadu",Not specified,,,Pudukkottai,Tamil Nadu,General Basic Workers
Medical Scribe,"Tenkasi, Tamil Nadu","₹10,000 - ₹12,000 a month",11000.0,,Tenkasi,Tamil Nadu,Medical Scribe
Data Analyst Trainee,"Visakhapatnam, Andhra Pradesh",Not specified,,,Visakhapatnam,Andhra Pradesh,Data Analyst Trainee
ATM Service Engineer,"Salem, Tamil Nadu","₹18,000 - ₹24,000 a month",21000.0,,Salem,Tamil Nadu,ATM Service Engineer
Organic Chemist - Trainee - 2024,"Ahmedabad, Gujarat",Not specified,,,Ahmedabad,Gujarat,Organic Chemist - Trainee - 2024
Organic Chemist - Trainee - 2024,"Ahmedabad, Gujarat",Not specified,,,Ahmedabad,Gujarat,Organic Chemist - Trainee - 2024
Factory Incharge,"Thane, Maharashtra","₹40,000 - ₹65,000 a month",52500.0,,Thane,Maharashtra,Factory Incharge
Machine Learning,"Noida, Uttar Pradesh","₹18,000 - ₹30,000 a month",24000.0,,Noida,Uttar Pradesh,Machine Learning
Graduate Trainee - Pickling,"Mahesana, Gujarat",Not specified,,,Mahesana,Gujarat,Graduate Trainee - Pickling
Off Campus Hiring for Fresher Batch 2023 - 24,"Mohali, Punjab","₹3,00,000 - ₹5,00,000 a year",400000.0,,Mohali,Punjab,Off Campus Hiring for Fresher Batch 2023 - 24
Associate Trainee,"Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh,Associate Trainee
Software Trainee Programmer,"Jubilee Hills, Hyderabad, Telangana",Not specified,,Jubilee Hills,Hyderabad,Telangana,Software Trainee Programmer
Helper - Male Only,"Coimbatore, Tamil Nadu","₹8,000 - ₹12,000 a month",10000.0,,Coimbatore,Tamil Nadu,Helper - Male Only
Graphic Designer,"Palghat, Kerala","From ₹9,598.81 a month",,,Palghat,Kerala,Graphic Designer
Technical Executive,"Bengaluru, Karnataka","₹30,000 - ₹40,000 a month",35000.0,,Bengaluru,Karnataka,Technical Executive
Teaching & non Teaching,"Bikaner, Rajasthan","From ₹20,000 a month",,,Bikaner,Rajasthan,Teaching & non Teaching
Data Entry Operator,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Data Entry Operator
Database Administrators,"Chennai, Tamil Nadu",Not specified,,,Chennai,Tamil Nadu,Database Administrators
Trainee Associate,"Hyderabad, Telangana",Not specified,,,Hyderabad,Telangana,Trainee Associate
DMO,"Nizamabad, Telangana","₹40,000 - ₹50,000 a month",45000.0,,Nizamabad,Telangana,DMO
Web Designers,"Kochi, Kerala",Not specified,,,Kochi,Kerala,Web Designers
CA Fresher / Final Group (Pursuing),"Gwalior, Madhya Pradesh",Not specified,,,Gwalior,Madhya Pradesh,CA Fresher / Final Group (Pursuing)
Personal Secretary,"Noida, Uttar Pradesh","₹75,000 - ₹80,000 a month",77500.0,,Noida,Uttar Pradesh,Personal Secretary
Anchor,"Kochi, Kerala","₹15,000 - ₹25,000 a month",20000.0,,Kochi,Kerala,Anchor
Human Resource Intern,"Purasawalkam, Chennai, Tamil Nadu",Not specified,,Purasawalkam,Chennai,Tamil Nadu,Human Resource Intern
Software Trainer,"Todupulai, Kerala","From ₹12,000 a month",,,Todupulai,Kerala,Software Trainer
Modelling,"Delhi, Delhi","From ₹10,000 a day",,,Delhi,Delhi,Modelling
Block Coordinator,"Kidwaipuri, Patna, Bihar","₹12,000 - ₹25,000 a month",18500.0,Kidwaipuri,Patna,Bihar,Block Coordinator
Assistant Professor / Associate Professor / Professor,Chandigarh,Not specified,,Chandigarh,Chandigarh,Chandigarh,Assistant Professor / Associate Professor / Professor
Data Entry Operator/Computer Operator,"Raigarh, Chhattisgarh","₹10,000 - ₹20,000 a month",15000.0,,Raigarh,Chhattisgarh,Data Entry Operator/Computer Operator
Graduate Trainee,"Bengaluru, Karnataka","₹9,000 a month",9000.0,,Bengaluru,Karnataka,Graduate Trainee
Computer staff - (Female) for kollam,"Kollam, Kerala","₹8,000 - ₹10,000 a month",9000.0,,Kollam,Kerala,Computer staff - (Female) for kollam
HR Trainee,"Coimbatore, Tamil Nadu",Not specified,,,Coimbatore,Tamil Nadu,HR Trainee
Assistant Professor,"Champa, Chhattisgarh","₹25,000 - ₹35,000 a month",30000.0,,Champa,Chhattisgarh,Assistant Professor
Hubli - Fresh Graduates for English Ad Design,"Hubli, Karnataka","₹11,150 - ₹25,000 a month",18075.0,,Hubli,Karnataka,Hubli - Fresh Graduates for English Ad Design
Sales Associate,"Dehradun, Uttarakhand","₹18,000 - ₹21,000 a month",19500.0,,Dehradun,Uttarakhand,Sales Associate
Media Intern (Admin & Teaching),"Nashik, Maharashtra","₹5,000 - ₹6,000 a month",5500.0,,Nashik,Maharashtra,Media Intern (Admin & Teaching)
Sound Engineer,"Navi Mumbai, Maharashtra",Not specified,,,Navi Mumbai,Maharashtra,Sound Engineer
Associate Trainee- Fresher,"Indore, Madhya Pradesh",Not specified,,,Indore,Madhya Pradesh,Associate Trainee- Fresher
Computer Operator,"Mandvi, Gujarat","₹12,000 - ₹15,000 a month",13500.0,,Mandvi,Gujarat,Computer Operator
Quality Assurance,"Borivali East, Mumbai, Maharashtra",Not specified,,Borivali East,Mumbai,Maharashtra,Quality Assurance
Data entry operater,"Vadapalani, Chennai, Tamil Nadu","₹15,000 - ₹25,000 a month",20000.0,Vadapalani,Chennai,Tamil Nadu,Data entry operater
Brand Collaborator,"Bengaluru, Karnataka","₹15,000 - ₹20,000 a month",17500.0,,Bengaluru,Karnataka,Brand Collaborator
Fresher Opportunity for the post of Mechanical Trainee Engineer,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Fresher Opportunity for the post of Mechanical Trainee Engineer
Admin,"Mysuru, Karnataka","Up to ₹20,000 a month",,,Mysuru,Karnataka,Admin
Fresher Full stack developer,"Kottayam, Kerala","₹9,000 - ₹13,000 a month",11000.0,,Kottayam,Kerala,Fresher Full stack developer
TRAINEE,"Tanuku, Andhra Pradesh",Not specified,,,Tanuku,Andhra Pradesh,TRAINEE
fresher electronics engineer,"Kochi, Kerala",Not specified,,,Kochi,Kerala,fresher electronics engineer
Assistant Supervisor,"Rajender Nagar, Delhi, Delhi","₹16,000 - ₹21,000 a month",18500.0,Rajender Nagar,Delhi,Delhi,Assistant Supervisor
Assistant Store Keeper,"Aluva, Kerala","₹12,000 - ₹17,500 a month",14750.0,,Aluva,Kerala,Assistant Store Keeper
Field Information Officer,"Bhubaneswar, Orissa","₹20,000 - ₹25,000 a month",22500.0,,Bhubaneswar,Orissa,Field Information Officer
FEMALE OFFICE STAFF,"Kollam, Kerala",Not specified,,,Kollam,Kerala,FEMALE OFFICE STAFF
Trainee,"Ahmedabad, Gujarat",Not specified,,,Ahmedabad,Gujarat,Trainee
Intern / Trainee,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,Intern / Trainee
IPQA Officer,"Kala Amb, Himachal Pradesh","From ₹20,000 a month",,,Kala Amb,Himachal Pradesh,IPQA Officer
Business Analyst (Fresher),"Chennai, Tamil Nadu",Not specified,,,Chennai,Tamil Nadu,Business Analyst (Fresher)
Trainee Admission Officer,"Mysuru, Karnataka","₹3,00,000 - ₹6,00,000 a year",450000.0,,Mysuru,Karnataka,Trainee Admission Officer
GET (Graduate Engineer Trainee),"Erode, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,,Erode,Tamil Nadu,GET (Graduate Engineer Trainee)
Trainee programmers,"Chennai, Tamil Nadu",Not specified,,,Chennai,Tamil Nadu,Trainee programmers
Trainee Environmental Specialist,"Hyderabad, Telangana",Not specified,,,Hyderabad,Telangana,Trainee Environmental Specialist
Receptionist (Urgent),"Darjiling, West Bengal",Not specified,,,Darjiling,West Bengal,Receptionist (Urgent)
QA Game Tester,"Pune District, Maharashtra","₹18,000 a month",18000.0,,Pune District,Maharashtra,QA Game Tester
For fresher(IT Sales),"Madurai, Tamil Nadu","Up to ₹1,20,000.53 a year",,,Madurai,Tamil Nadu,For fresher(IT Sales)
Junior Associate,"Mysuru, Karnataka","₹17,000 - ₹19,000 a month",18000.0,,Mysuru,Karnataka,Junior Associate
CAD Designer,"Ambattur, Chennai, Tamil Nadu","From ₹16,500 a month",,Ambattur,Chennai,Tamil Nadu,CAD Designer
Behavioural Trainer- Fresher,"Bengaluru, Karnataka","₹18,000 - ₹20,000 a month",19000.0,,Bengaluru,Karnataka,Behavioural Trainer- Fresher
Quality Analyst Intern,"Satellite, Ahmedabad, Gujarat","₹5,000 - ₹7,000 a month",6000.0,Satellite,Ahmedabad,Gujarat,Quality Analyst Intern
Jr. Accounts Executive,"Kochi, Kerala",Not specified,,,Kochi,Kerala,Jr. Accounts Executive
AR Caller Trainee,"Coimbatore, Tamil Nadu","Up to ₹50,000 a month",,,Coimbatore,Tamil Nadu,AR Caller Trainee
Pizzahut Team member,"Devanhalli, Karnataka","₹15,500 - ₹20,800 a month",18150.0,,Devanhalli,Karnataka,Pizzahut Team member
Document Scanning,"Moshi, Pune, Maharashtra","From ₹12,000 a month",,Moshi,Pune,Maharashtra,Document Scanning
"Proofreading, Quality Control & Copy Editing - Freshers Also Welcome","Coimbatore, Tamil Nadu","₹1,05,842.90 - ₹3,63,348.95 a year",234595.925,,Coimbatore,Tamil Nadu,"Proofreading, Quality Control & Copy Editing - Freshers Also Welcome"
QA Trainee,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh,QA Trainee
Pharma Freshers,"Mumbai Central, Mumbai, Maharashtra","₹2,50,000 - ₹3,50,000 a month",300000.0,Mumbai Central,Mumbai,Maharashtra,Pharma Freshers
Human Resource,"Lucknow, Uttar Pradesh","₹3,00,000 - ₹8,00,000 a year",550000.0,,Lucknow,Uttar Pradesh,Human Resource
Project Billing Specialist,"Shivaji Nagar, Pune, Maharashtra","₹18,000 - ₹25,000 a month",21500.0,Shivaji Nagar,Pune,Maharashtra,Project Billing Specialist
Data Entry Intern,Remote,"₹2,000 - ₹4,000 a month",3000.0,Remote,Remote,Remote,Data Entry Intern
Management Trainee(Financial Planning & Investments) (Job location:- Vadodara Only),"Vadodara, Gujarat","₹18,000 - ₹45,000 a month",31500.0,,Vadodara,Gujarat,Management Trainee(Financial Planning & Investments) (Job location:- Vadodara Only)
Accounting Trainee,India,Not specified,,India,India,India,Accounting Trainee
Programmer,"Kochi, Kerala",Not specified,,,Kochi,Kerala,Programmer
Python Developer,Remote,Not specified,,Remote,Remote,Remote,Python Developer
Documentation(Freshers),"Kottayam, Kerala","Up to ₹18,000 a month",,,Kottayam,Kerala,Documentation(Freshers)
Bouncer,"Mumbai, Maharashtra","₹25,000 - ₹35,000 a month",30000.0,,Mumbai,Maharashtra,Bouncer
International Business Development Executive,"Salem, Tamil Nadu",Not specified,,,Salem,Tamil Nadu,International Business Development Executive
MEDICAL REPRESENTATIVE VACANCY,"Bolpur, West Bengal","₹15,000 - ₹20,000 a month",17500.0,,Bolpur,West Bengal,MEDICAL REPRESENTATIVE VACANCY
Programme Coordinator,"Kodungallur, Kerala","From ₹3,00,000 a year",,,Kodungallur,Kerala,Programme Coordinator
Delivery Boy,"Kottayam, Kerala","₹15,000 - ₹25,000 a month",20000.0,,Kottayam,Kerala,Delivery Boy
Graduate Engineer Trainee (GET),"Tiruchchirappalli, Tamil Nadu",Not specified,,,Tiruchchirappalli,Tamil Nadu,Graduate Engineer Trainee (GET)
3D Modeling Artist,"Kazhakoottam, Thiruvananthapuram, Kerala","₹20,000 a month",20000.0,Kazhakoottam,Thiruvananthapuram,Kerala,3D Modeling Artist
Virtual Scribe Trainee,"Hubli, Karnataka","₹30,000 - ₹35,000 a month",32500.0,,Hubli,Karnataka,Virtual Scribe Trainee
INTERNSHIP -HR (NON-PAID),"Kochi, Kerala",Not specified,,,Kochi,Kerala,INTERNSHIP -HR (NON-PAID)
Executive - AO&CS,"Kochi, Kerala",Not specified,,,Kochi,Kerala,Executive - AO&CS
Delivery Partner/Delivery Executive,"Bengaluru, Karnataka","₹20,000 - ₹60,000 a month",40000.0,,Bengaluru,Karnataka,Delivery Partner/Delivery Executive
Data Analyst,"Chennai, Tamil Nadu","From ₹4,00,000 a year",,,Chennai,Tamil Nadu,Data Analyst
Graduate Trainee,"Kochi, Kerala","₹15,000 - ₹20,000 a month",17500.0,,Kochi,Kerala,Graduate Trainee
Business Analyst,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu,Business Analyst
Data Entry Operator,"Nagercoil, Tamil Nadu","From ₹2,00,000 a year",,,Nagercoil,Tamil Nadu,Data Entry Operator
Client Care Trainee,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Client Care Trainee
Database Administrator,"Chennai, Tamil Nadu","₹19,457.51 - ₹71,405.55 a month",45431.53,,Chennai,Tamil Nadu,Database Administrator
Roto Artist,"Pune, Maharashtra",Not specified,,,Pune,Maharashtra,Roto Artist
Trainee / Executive Medical Coding,"Salem, Tamil Nadu",Not specified,,,Salem,Tamil Nadu,Trainee / Executive Medical Coding
HR recruitment officer,"Tiruppur, Tamil Nadu","₹20,000 - ₹25,000 a month",22500.0,,Tiruppur,Tamil Nadu,HR recruitment officer
Assisstant Resource Manager_Construction Projects,"Bengaluru, Karnataka","Up to ₹18,000 a month",,,Bengaluru,Karnataka,Assisstant Resource Manager_Construction Projects
Data Entry Operator (DEO),"INDERLOK, Delhi, Delhi","₹10,720.27 - ₹21,705.17 a month",16212.72,INDERLOK,Delhi,Delhi,Data Entry Operator (DEO)
Software Engineer Trainee,"Chennai, Tamil Nadu","₹3,60,000 - ₹4,00,000 a year",380000.0,,Chennai,Tamil Nadu,Software Engineer Trainee
Hiring Graduates,"Tiruchchirappalli, Tamil Nadu","₹11,000 - ₹11,200 a month",11100.0,,Tiruchchirappalli,Tamil Nadu,Hiring Graduates
HR Trainee,"Pune, Maharashtra","₹2,00,000 - ₹3,50,000 a month",275000.0,,Pune,Maharashtra,HR Trainee
Social Media Influencer,Remote,"₹9,334.49 - ₹14,000.00 a month",11667.245,Remote,Remote,Remote,Social Media Influencer
Social media intern,Remote,Not specified,,Remote,Remote,Remote,Social media intern
Counsellor,Remote,Not specified,,Remote,Remote,Remote,Counsellor
HR TRAINEE,"Calicut, Kerala","₹15,000 - ₹18,000 a month",16500.0,,Calicut,Kerala,HR TRAINEE
JOB DRIVE @ Trivandrum,"Thiruvananthapuram, Kerala","₹15,000 - ₹35,000 a month",25000.0,,Thiruvananthapuram,Kerala,JOB DRIVE @ Trivandrum
Store Officer,"Todupulai, Kerala","₹10,000 - ₹20,000 a month",15000.0,,Todupulai,Kerala,Store Officer
Trainee Engineer Civil,"Thiruvananthapuram, Kerala",Not specified,,,Thiruvananthapuram,Kerala,Trainee Engineer Civil
Regulatory,"Borivali East, Mumbai, Maharashtra",Not specified,,Borivali East,Mumbai,Maharashtra,Regulatory
Trainee Research Assistant,India,Not specified,,India,India,India,Trainee Research Assistant
Software Trainee,"Valasaravakkam, Chennai, Tamil Nadu",Not specified,,Valasaravakkam,Chennai,Tamil Nadu,Software Trainee
General Manager,"Erode, Tamil Nadu","₹15,000 - ₹25,000 a month",20000.0,,Erode,Tamil Nadu,General Manager
Billing Clerk,"Ganapathi, Coimbatore, Tamil Nadu","₹8,000 - ₹12,000 a month",10000.0,Ganapathi,Coimbatore,Tamil Nadu,Billing Clerk
Brand Promoter,"Edapalli, Kerala","₹5,000 - ₹20,000 a month",12500.0,,Edapalli,Kerala,Brand Promoter
Vacancy for Fresher Graduate 8O13927285,"Maldah, West Bengal","₹15,000 - ₹20,000 a month",17500.0,,Maldah,West Bengal,Vacancy for Fresher Graduate 8O13927285
Diploma Trainee,"Hubli, Karnataka","₹16,000 - ₹20,000 a month",18000.0,,Hubli,Karnataka,Diploma Trainee
Data Entry (Work From Office - Female- Fresher),"Chennai, Tamil Nadu","₹10,000 - ₹15,000 a month",12500.0,,Chennai,Tamil Nadu,Data Entry (Work From Office - Female- Fresher)
Customer Success Associate,Remote,"₹15,000 a month",15000.0,Remote,Remote,Remote,Customer Success Associate
Video Analyst Trainee - Fresher,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Video Analyst Trainee - Fresher
Officer - AO&CS,"Kochi, Kerala",Not specified,,,Kochi,Kerala,Officer - AO&CS
HR Team,"Saravanampatti, Coimbatore, Tamil Nadu",Not specified,,Saravanampatti,Coimbatore,Tamil Nadu,HR Team
Quality Analyst Fresher,"Sanjeeva Reddy Nagar, Hyderabad, Telangana","₹18,000 - ₹25,000 a month",21500.0,Sanjeeva Reddy Nagar,Hyderabad,Telangana,Quality Analyst Fresher
Facilitator,"Jaipur, Rajasthan",Not specified,,,Jaipur,Rajasthan,Facilitator
Analyst – Healthcare,"Bengaluru, Karnataka",Not specified,,,Bengaluru,Karnataka,Analyst – Healthcare
Application Developer,"Perungudi, Chennai, Tamil Nadu","From ₹18,870 a month",,Perungudi,Chennai,Tamil Nadu,Application Developer
Ticketing Executive,"Nagpur, Maharashtra","₹8,000 - ₹20,000 a month",14000.0,,Nagpur,Maharashtra,Ticketing Executive
Technical Analysts - Trainee,"Bandra, Mumbai, Maharashtra",Not specified,,Bandra,Mumbai,Maharashtra,Technical Analysts - Trainee
Delivery Executive/Delivery Partner,Delhi,"₹18,000 - ₹35,000 a month",26500.0,Delhi,Delhi,Delhi,Delivery Executive/Delivery Partner
Freshers/TraineesRegister,"Noida, Uttar Pradesh",Not specified,,,Noida,Uttar Pradesh,Freshers/TraineesRegister
Video Editor,Remote,Not specified,,Remote,Remote,Remote,Video Editor
Fresher Data Entry Operator (DEO),"JNU New Campus, Delhi, Delhi","₹13,200 - ₹19,000 a month",16100.0,JNU New Campus,Delhi,Delhi,Fresher Data Entry Operator (DEO)
Adonis Manufacturing Pvt Ltd ( Freshers Hiring Permanent ),"Sriperumpudur, Chennai, Tamil Nadu","₹15,000 - ₹20,000 a month",17500.0,Sriperumpudur,Chennai,Tamil Nadu,Adonis Manufacturing Pvt Ltd ( Freshers Hiring Permanent )
Sales Executive,"Dehradun, Uttarakhand","From ₹8,086 a month",,,Dehradun,Uttarakhand,Sales Executive
Billing Executive,"Gopichettipalaiyam, Tamil Nadu","₹12,000 - ₹15,000 a month",13500.0,,Gopichettipalaiyam,Tamil Nadu,Billing Executive
